microtrait_hmm-name
4hbl_arch
4hbl1
4hbl2
4hbl3
aaeB
aapJ
aapM
aapP
aapQ
abcB
abfD
abgT
accA
accC
accD
accD6
acdA
acdB
aceA
aceB
aceE
ackA
aclA
aclB
aclSlarge
aclSsmall_1
aclSsmall_2
acly
acnA
acnB
acpA
acr
acr-hydt
acrD
acrF
acsB
acsC
acsD
acsE
acss
actP
adc
adeB
adeC
adeK
adh
adhE
adhP
adiA
adiC
adpgk
afuA
afuB
afuC
agaEIIA
agaEIIB
agaEIIC
agaEIID
aglE
aglF
aglG
aglK
aguE
aguF
aguG
agxt
ahpC_1
ahpC_2
ahpC_3
ahpF
ahy
aksA
aksD
aksE
aksF
aldh
aldh7A1
aldo.classI-1
aldo.classI-2
aldo.classII
alg8
alg44
algK
algE
algG
algX
algL
algI
algJ
algF
allP
alpha-LP
alsA
alsB
alsC
alsD
alt
ameC
amiS
ampG
ampH
ampS
amsL
amt
anfG
ansP
aotJ
aotM
aotP
aotQ
apa1_2
apcA
apcB
apcC
apcD
apcE
apcF
apgM
aphA
appA
appX
aprA
aprB
aprE1
aprX
araE
araF
araG
araH
araJ
araN
araP
araQ
arcA
arcB
arcD
arg1
arg2
arg3
arg4
argT
arnE
aroP1
aroP2
arsB1
arsB2
arsC
arsC2
arrA
arrB
artI
artJ
artM
artP1
artP2
artQ1
artQ2
artR
ascEIIB
ascEIIC
asd1
asd2
aspB
aspC
asrA
asrB
asrC
atoA
atoB
atoD
atoE
atp4aalpha
atp4abeta
atpA
atpB
atpC
atpD
atpE
atpF
atpG
atpH
atpvaA
atpvaB
atpvaC
atpvaD
atpvaE
atpvaF
atpvaGH
atpvaI
atpvaK
attA1
attA2
attB
attC
avrPphB
avrRpt2
azf
baeR
baeS
bamC
bapA
bccA
bccP
bcd
bceA
bceB
bchC
bchE
bchF
bchG
bchH
bchJ
bchK
bchM
bchP
bchU
bchV
bchX
bchY
bchZ
bciB
bciC
bciD
bcpA
bcrA
bcrB
bdhAB
benE
bepA
betL
betT
betA
codA
gbsB
betB
bfcA
bglEIIA
bglEIIB
bglEIIC
bglH
bgtA
bgtB
bica
bioM
bioN
bioY
blpA
bpeE
bpeF
bpgm
bpnt
bpr
braD
braE
btuB
btuC
btuD
btuF
buk
butA
butB
bxlE
bxlF
bxlG
cadA
cadB
caiT
capD
carC
carD
carE
carT
cbiK
cbiL
cbiM
cbiN
cbiO
cbiQ
cbrT
cch-hbcd
ccl
ccmA
ccmB
ccmC
ccmD
ccmK
ccmL
ccmM
ccmN
ccmO
ccoN
ccoNO
ccoO
ccoP
ccoQ
ccrA
ccsA
ccsB
cct
cdhA
cdhB
cdhC
cebE
cebF
cebG
celEIIA
celEIIB
celEIIC
cfa
cfrA
chaA
chiE
chiF
chiG
chlE
chlL
chrA
citA
citC
citD
citE
citF
citT
clpA
clpB
clpC
clpE
clpL
clpP
clpX
cmlA
cmpA
cmpB
cmpC
cmpD
codB
cofC
cofD
cofE
cofF
cofG
cofH
comA
comB
comC
comD
comE
cooF
cooS
corA
coxA
coxAC
coxB
coxC
coxD
cpaA
cpcA
cpcB
cpcC
cpcD
cpcE
cpcF
cpcG
cpeA
cpeB
cpeC
cpeD
cpeE
cpeR
cpeS
cpeT
cpeU
cpeY
cpeZ
cpg
cps
cpt
cpxA
cpxP
cpxR
croR
crs
crt
crtA
crtB
crtC
crtD
crtF
crtH
crtI
crtL1
crtL2
crtM
crtN
crtO
crtO-2_3_1
crtP
crtP-1_14_99_44
crtQ
crtQ-2_4_1
crtR
crtU
crtW
crtX
crtY
crtZ
cruA
cruC
cruD
cruF
cruP
csmA
csmB
csmC
csmD
csmE
csmF
csmH
csmI
csmJ
csmX
cspA
ctaA
ctaG
cusA
cusC
cwlK
cwlO
cwlS
cycA
cydA
cydB
cydC
cydCD
cydD
cydX
cyoA
cyoB
cyoC
cyoD
cyoE
cysA
cysC
cysD
cysE1
cysE2
cysH
cysI
cysJ
cysK
cysN
cysNC
cysO
cysP
cysU
cysW
czcA
czcC
czcD
dacB
dacC
dak
DAS
dasA
dasB
dasC
dcp
dctA
dctM
dctP
dctQ
dcuA
dcuB
dcuC
dddL
ddhA
ddhB
ddhC
deaD
degP
degQ
degS
degU
desA
desK
desR
devA
devB
devC
devR
devS
dgaEIIA
dgaEIIB
dgaEIIC
dgaEIID
dgaF
dglEIIA
dglEIIB
dglEIIC
dhaB
dhaC
dhaM
dhaT
dhbE
dlst
dltB
dmd-tmd
dmdA
dmdB
dmdC
dmdD
dmoA
dmpA
dmsA
dmsB
dmsC
dnaJ
dnaK
doxA
doxD
doxDA
doxX
dppA
dppA1
dppB1
dppB2
dppC1
dppC2
dppD1
dppD2
dppE
dppF1
dps
dsdX
dsrA
dsrB
dsrC
dsrD
dsrE
dsrF
dsrH
dsrJ
dsrK
dsrL
dsrN_cobB-cbiA
dsrO
dsrP
dsrR
dsrS
E3.4.11.10
E3.4.11.24
E3.4.17.14
E3.4.17.19
E3.4.21.121
E3.4.21.50
E3.4.24.32
E3.4.24.33
eamA
eamB
ebr
ebrA
ebrB
ecfA1
ecfA2
ecfT
echA
echB
echC
echD
echE
echF
eda
edd
eexD
efeB
efeO
emrK
emrY
eno
entS
envZ
epi
epr
epsE
epsF
erfK
eryE
eryF
eryG
eutK
eutL
eutM
eutN
eutS
evgA
evgS
exaA
exbB
exbD
exoF
exoY
exoT
fadB
fadJ
fadL
fadN
fae
fae-hps
fba_2
fba_3
fbcH
fbiC
fbpap
fbpI
fbpI-sebp
fbpII
fbpII-sebp
fbpIII
fccA
fccB
fchA
fdh
fdh.NADP+A
fdh.NADP+B
fdhA
fdhAF420
fdhBF420
fdhC
fdhF
fdhH
fdoI
fdsD
fdwB
fecA
fecB
fecC
fecD
fecE
feoA
feoB
fepA
fepB
fepC
fepD
fepG
fevA
fevP
fevS
fhuB
fhuC
fhuD
fieF
fiu
fixJ
fixL
flaK
flgA
flgB
flgC
flgD
flgE
flgF
flgG
flgH
flgI
flgK
flgL
flgM
flgN
flhA
flhB
flhC
flhD
fliA
fliC
fliD
fliE
fliF
fliG
fliH
fliI
fliJ
fliK
fliM
fliN
fliO
fliP
fliQ
fliR
fliRflhB
fliS
fliT
flqA
flqB
flqC
fmoA
fnr
focA
focB
folD
fpoA
fpoB
fpoC
fpoD
fpoF
fpoH
fpoI
fpoJ
fpoK
fpoL
fpoM
fpoN
fpoO
fpvA
fqoA
fqoBC
fqoD
fqoF
fqoH
fqoI
fqoJ
fqoK
fqoL
fqoM
fqoN
frcA
frcB
frcC
frd.NADHA
frd.NADHB
frd.NADHC
frd.NADHD
frd.NADHE
frdA
frdB
frdC
frdD
frhA
frhB
frhD
frhG
frmA
frmB
fru1EIIA
fru1EIIB
fru1EIIC
fru2EIIA
fru2EIIB
fru2EIIC
fruB
fruK
frvX
ftfL
ftr
ftrA
fucA
fucI
fucK
fumalpha
fumbeta
fumI
fumII
fur
fwdA
fwdB
fwdC
fwdD
fwdE
fwdF
fwdG
fwdH
g6p
gadAB
gadC
galE
galEIIA
galEIIB
galEIIC
galK
galM
galP
galT
gamEIIB
gamEIIC
gamEIID
ganO
ganP
ganQ
gapA.NAD+
gapA.NADP+
gapdhs
gapor
gatEIIA
gatEIIB
gatEIIC
gcd
gck
gdh2
gdhA
gdhA_1
gdhA_2
gesB
gfa
gfrEIIA
gfrEIIB
gfrEIIC
gfrEIID
ggt
gguA
gguP
gguS
GH1
GH10
GH11
GH110
GH113
GH116
GH12
GH120
GH124
GH134
GH16
GH18
GH19
GH2
GH20
GH23
GH26
GH27
GH3
GH30
GH31
GH36
GH39
GH4
GH43
GH44
GH45
GH48
GH5
GH51
GH52
GH54
GH6
GH62
GH7
GH74
GH79
GH8
GH9
GH97
GH98
gk
glc1EIIA
glc1EIIB
glc1EIIC
glc2EIIA
glc2EIIB
glc2EIIC
glcA
glcP
glcP1
glcS
glcT1
glcU
gld
gldA
