"colSums(trait_3N %>% select(2:190), na.rm = FALSE)/nrow(trait_3N)"
0
3.13537890813566e-07
0
1.09496910540443e-07
0
0
3.80251860476631e-07
0
4.29796151123891e-08
0
0
4.29796151123891e-08
0
3.3297982561029e-07
4.29796151123891e-08
0
5.99049007322504e-07
3.32783151375279e-07
1.0796188250932e-06
2.70558275701176e-07
0
0
9.02516499787293e-08
1.56768945406783e-07
6.65172954280534e-08
6.65172954280534e-08
0
6.65172954280534e-08
0
0
4.29796151123891e-08
0
0
1.56768945406783e-07
0
0
9.02516499787293e-08
0
1.13789330294394e-07
1.76014205968496e-07
0
9.85271429595528e-07
7.42739928198978e-07
7.44418070241421e-07
1.12018083672909e-06
1.87619546369339e-06
5.7551132700684e-07
7.07196580436779e-06
0
4.29796151123891e-08
4.29796151123891e-08
0
6.65172954280534e-08
0
6.65172954280534e-08
1.56768945406783e-07
9.02516499787293e-08
0
0
0
0
0
0
0
0
0
0
3.43242807160635e-07
0
0
4.52739717701077e-07
0
4.72720348663402e-08
0
0
6.65172954280534e-08
0
1.56768945406783e-07
1.56768945406783e-07
1.09496910540443e-07
4.29796151123891e-08
4.72720348663402e-08
4.29796151123891e-08
0
0
0
1.09496910540443e-07
0
0
0
0
4.29796151123891e-08
1.56768945406783e-07
0
0
0
0
0
3.86222422273024e-07
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4.72720348663402e-08
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.33231265091118e-07
4.27327221107959e-07
2.26369858850539e-06
3.13537890813566e-07
2.26369858850539e-06
3.13537890813566e-07
0
0
1.13789330294394e-07
4.52739717701077e-07
3.13537890813566e-07
0
4.52739717701077e-07
1.09496910540443e-07
4.27327221107959e-07
0
0
3.13537890813566e-07
4.72720348663402e-08
0
1.56768945406783e-07
6.65172954280534e-08
1.80306625722447e-07
2.90000210497901e-07
0
0
0
0
3.38950387406684e-07
