"","Score","Label","NMDS1","NMDS2"
"1","sites","1",-0.0657709660736881,0.370016242466652
"2","sites","2",-0.33638780613049,-0.172066183444085
"3","sites","3",-0.12095727146355,-0.110829391488244
"4","sites","4",-0.0686384831059631,-0.107645487967189
"5","sites","5",0.157465813154465,-0.171481217790888
"6","sites","6",-0.230955939618202,-0.301413395796573
"7","sites","7",-0.0979185946930847,-0.202509314428266
"8","sites","8",-0.00917590618291985,-0.0841356854253881
"9","sites","9",0.184604789210992,0.0849057670797893
"10","sites","10",-0.37816509527082,0.10566986319811
"11","sites","11",0.197163213857075,-0.101288729268805
"12","sites","12",-0.019396691142478,-0.237329236122148
"13","sites","13",0.131400191901666,-0.132329990821199
"14","sites","14",0.0797107235009867,-0.0561895432175113
"15","sites","15",-0.0269202496161148,0.0403651950799541
"16","sites","16",0.145172147114501,-0.081732683942841
"17","sites","17",-0.332126363349315,-0.254216310582825
"18","sites","18",0.30784313397284,0.0528340744092052
"19","sites","19",0.187425379772387,-0.213733134776793
"20","sites","20",-0.135721502128548,-0.493719599775063
"21","sites","21",0.131555638782295,-0.0577668064990821
"22","sites","22",-0.211161698690428,0.0200469235822844
"23","sites","23",-0.199601477357852,0.282187242614505
"24","sites","24",0.197006231110773,-0.193883095133033
"25","sites","25",-0.394454966263536,-0.0768134832776688
"26","sites","26",0.212327837702884,0.195641686736356
"27","sites","27",0.0685559769802904,-0.133527703782853
"28","sites","28",0.189593226892094,0.0602516473654091
"29","sites","29",-0.279353672809388,0.130202979904181
"30","sites","30",0.0896142118828959,-0.016576015600342
"31","sites","31",0.262352243975813,-0.156993073643373
"32","sites","32",0.171906500521918,-0.0891175711739782
"33","sites","33",0.299812740861583,0.117812540248344
"34","sites","34",-0.0971904534302863,-0.0971259673959776
"35","sites","35",-0.0179513421592641,0.232545702692029
"36","sites","36",-0.106413167622652,-0.0210150857114553
"37","sites","37",0.0310819704055014,0.39584733751845
"38","sites","38",0.133692332417008,-0.0213698445751812
"39","sites","39",0.219831819154638,0.181287558245106
"40","sites","40",0.237347369343247,0.012172870828975
"41","sites","41",0.219619960976671,0.287313581873486
"42","sites","42",-0.312045968766366,-0.242884069993745
"43","sites","43",-0.10203374543893,0.122388183927696
"44","sites","44",-0.048345747006849,0.0712402460463202
"45","sites","45",0.0344701292748963,-0.0334512854615826
"46","sites","46",0.189175328764542,-0.0388050427582961
"47","sites","47",0.15446735325576,-0.341366076697503
"48","sites","48",-0.319638722122743,0.452416106261677
"49","sites","49",-0.112469214926199,0.437502162128295
"50","sites","50",-0.375624231698989,0.101516913100139
"51","sites","51",0.285380080668762,0.345669248816119
"52","sites","52",0.171929178670938,0.151376141652264
"53","sites","53",0.389482795908934,-0.244375736097324
"54","sites","54",-0.118135988043389,0.11661109818038
"55","sites","55",-0.239999344464661,-0.832220445071597
"56","sites","56",0.125799209231928,0.132909770149384
"57","sites","57",0.0259191489802379,0.312752683536901
"58","sites","58",-0.222981727340295,-0.487519056440454
"59","sites","59",0.105579730909799,-0.130919548622083
"60","sites","60",-0.200414837511574,0.391395817999043
"61","sites","61",0.152487001543296,0.219424847449259
"62","sites","62",0.016113183797635,-0.0201152984880927
"63","sites","63",0.0471346718256832,0.149005484754163
"64","sites","64",-0.0238950624863822,-0.15258473539396
"65","sites","65",-0.0724809441058233,0.272550971907189
"66","sites","66",0.187639115394287,0.266292910699987
"67","sites","67",-0.410223355786956,0.143315533528817
"68","sites","68",0.269881694814324,-0.395989883427273
"69","sites","69",-0.161592400228105,-0.248020637934976
"70","sites","70",-0.423185090950605,0.373705946243408
"71","sites","71",-0.0831443402538684,-0.0264367489950169
"72","sites","72",-0.00776012190099624,0.165225522460319
"73","sites","73",-0.177295597893253,0.039438152010799
"74","sites","74",-0.184786063737627,0.121680810805571
"75","sites","75",-0.0535235932575158,0.039561562423914
"76","sites","76",-0.277848279245593,-0.0232244245345881
"77","sites","77",0.157416106242298,-0.283416629430069
"78","sites","78",0.0875192096691158,-0.151128875006116
"79","sites","79",0.106743663823277,0.195300638084141
"80","sites","80",0.224726228415063,0.175863516221291
"81","sites","81",0.900706257393101,-0.0645171658479325
"82","sites","82",-0.238218854076133,-0.250827840703536
"83","sites","83",-0.461357071642598,-0.116509830816013
"84","sites","84",0.250923820031844,-0.178773649436331
"85","sites","85",-0.315519597280858,-0.223713132689556
"86","sites","86",0.0619249883093947,0.0475535584941558
"87","sites","87",0.153700266502748,-0.142680175816364
"88","sites","88",0.0139781153924246,-0.37804592927467
"89","sites","89",-0.177675193523876,-0.081470381091605
"90","sites","90",0.335955610240673,0.100122212721252
"91","sites","91",0.0517684413639035,-0.222305214229094
"92","sites","92",0.193101435415873,-0.257260391749816
"93","sites","93",0.0996195034150518,0.376493694686962
"94","sites","94",-0.126897880379661,-0.272760799381472
"95","sites","95",0.0191359222800112,0.329863460173589
"96","sites","96",0.21060990771413,-0.187361043663321
"97","sites","97",0.0452611885489821,-0.103170461283455
"98","sites","98",-0.15410325730584,-0.00203785381590514
"99","sites","99",0.16501035001101,0.191442523560824
"100","sites","100",-0.291073993789032,-0.112148586363362
"101","sites","101",0.193540087170359,-0.17229298316253
"102","sites","102",0.222735324538745,-0.0870867407402942
"103","sites","103",0.107631651288887,-0.18648871707155
"104","sites","104",0.188269076960677,0.0469720125284285
"105","sites","105",-0.119566587871779,-0.49102990698288
"106","sites","106",0.0222175480676298,0.475880180253447
"107","sites","107",0.2223550538355,0.196280331351359
"108","sites","108",0.0919144508697644,0.343444663184999
"109","sites","109",-0.313216903362938,-0.099491145386902
"110","sites","110",0.0130228154548617,-0.0219168917071305
"111","sites","111",0.301358193429452,-0.201964544249101
"112","sites","112",0.0901784768006536,0.245940074032645
"113","sites","113",0.242248756157867,0.142161160216936
"114","sites","114",-0.334691338383581,-0.128429160749068
"115","sites","115",-0.320658581965076,0.246515505253055
"116","sites","116",-0.307861133316056,0.567513359622722
"117","sites","117",0.0947176051912508,0.418141957839541
"118","sites","118",0.0301478448300151,0.288735193314815
"119","sites","119",0.153852470585401,0.000675591265939879
"120","sites","120",-0.338165699548299,0.500897850549012
"121","sites","121",0.0912735445422771,-0.0623572259295557
"122","sites","122",0.3874023379273,0.0485448821389822
"123","sites","123",0.225255264351957,0.210673097560489
"124","sites","124",0.0614650952389141,0.232727350309625
"125","sites","125",0.925802378417014,0.089549318790478
"126","sites","126",0.0556365126443745,-0.192384061881507
"127","sites","127",0.328332996180934,0.0753709121786957
"128","sites","128",-0.0122987835363423,0.215555227297454
"129","sites","129",-0.0181445128496156,0.288779665636931
"130","sites","130",0.262323737145997,0.0217518969847826
"131","sites","131",0.21846075907684,0.201441595972748
"132","sites","132",0.100896771386486,0.164791544144986
"133","sites","133",-0.096780203443419,-0.0559367837027061
"134","sites","134",-0.061273241982234,0.404812780850648
"135","sites","135",-0.481964707632971,-0.0832301750103929
"136","sites","136",-0.0813854738274416,0.318627085332137
"137","sites","137",0.238960240663957,-0.00175874549546622
"138","sites","138",-0.0321255964377529,0.42571412209055
"139","sites","139",0.00811035860406429,0.231367967093844
"140","sites","140",0.0167123855347432,-0.0647974154343341
"141","sites","141",0.0479211324600593,0.141976659554481
"142","sites","142",0.956632231689577,-0.339748454634604
"143","sites","143",0.0227603109320026,0.506876259631833
"144","sites","144",-0.204200883295487,-0.0346471279968558
"145","sites","145",-0.174014015800187,-0.00840432380173088
"146","sites","146",-0.312199227571637,-0.121518796080565
"147","sites","147",-0.384153647954703,0.102512131444389
"148","sites","148",0.0642721403639741,0.171171093393288
"149","sites","149",-0.257047336194265,0.358282328367802
"150","sites","150",-0.209498188957436,0.119748102311206
"151","sites","151",-0.361522970218993,-0.108626380578432
"152","sites","152",0.20360841552226,-0.0429483894405964
"153","sites","153",0.119585893734415,0.205221796501552
"154","sites","154",-0.14084937674798,0.430097574360522
"155","sites","155",-0.249982284444326,0.0143427085499016
"156","sites","156",0.0128485851672193,0.335491404781961
"157","sites","157",-0.243639099473783,-0.182856839308119
"158","sites","158",-0.0233451745023436,0.588279926702688
"159","sites","159",0.00515675231573887,-0.0220105778332021
"160","sites","160",-0.300396273876719,0.201449780376595
"161","sites","161",-0.249685362818121,-0.0394906413619892
"162","sites","162",0.142813370154968,-0.128568266017385
"163","sites","163",0.338217469388667,-0.0331314438998243
"164","sites","164",-0.00869685905983785,0.0255115339272498
"165","sites","165",-0.186477493668579,-0.197353110488691
"166","sites","166",0.057461486056291,-0.061316216060242
"167","sites","167",0.0137649573824651,-0.143406060288615
"168","sites","168",0.128277884294571,-0.0919807634328087
"169","sites","169",0.191236543454103,-0.134548174018211
"170","sites","170",-0.139101537361218,-0.230222548603543
"171","sites","171",-0.197131838278545,-0.251681888171117
"172","sites","172",0.073098613517263,-0.1003076158225
"173","sites","173",-0.241722374159049,-0.158887599203695
"174","sites","174",-0.0578899041468476,-0.0384789474109847
"175","sites","175",-0.0702811060315513,-0.138009274757545
"176","sites","176",0.135321601204776,-0.0403870267153354
"177","sites","177",0.12780939985477,-0.00805719257024285
"178","sites","178",-0.0688903179620064,-0.195570215088835
"179","sites","179",0.0721196566419745,-0.34953972528817
"180","sites","180",0.00584473128839238,0.00496003398023223
"181","sites","181",0.13381011550132,-0.384846436695909
"182","sites","182",0.259788049531583,0.510149676847743
"183","sites","183",-0.00602071462802121,0.184762568834835
"184","sites","184",-0.16375397418499,0.0573457872070952
"185","sites","185",-0.23715951248235,-0.183305947799817
"186","sites","186",-0.376976455147196,-0.582982828491153
"187","sites","187",0.112768757895263,-0.254740424392171
"188","sites","188",-0.344019803058716,-0.211642489165184
"189","sites","189",0.457282685713396,-0.46705040258553
"190","sites","190",-0.17503588825052,-0.453878057920649
"191","sites","191",-0.373353894975478,-0.234058180611051
"192","sites","192",0.0657834879365104,-0.262074347944609
"193","sites","193",-0.259749562672012,0.0652344059833508
"194","sites","194",0.38770502183092,-0.265171397292806
"195","sites","195",0.154520089200901,-0.233922866357291
"196","sites","196",0.185011336663162,-0.156071028580163
"197","sites","197",-0.0893172784921339,-0.260205544102188
"198","sites","198",-0.117060730673253,0.324641938757647
"199","sites","199",-0.149643012417276,0.287732111014442
"200","sites","200",-0.0753083148421091,-0.322123548125196
"201","sites","201",0.0834603962879887,-0.0127138017947274
"202","sites","202",-0.0836685443577363,0.0210392896922686
"203","sites","203",-0.0172729328008025,-0.0980469652600975
"204","sites","204",0.0776528989781702,-0.0971369057385609
"205","sites","205",-0.0836429199649394,-0.0203680662582021
"206","sites","206",-0.121875623778546,-0.344074721202445
"207","sites","207",0.283856736964406,-0.203044140188871
"208","sites","208",-0.16014503605871,-0.46479608414106
"209","sites","209",-0.274856536088173,-0.148020123700843
"210","sites","210",0.0996065199608234,-0.179385479851999
"211","sites","211",-0.296978838595955,-0.0719243697845958
"212","sites","212",-0.121414425818112,-0.0325990280358086
"213","sites","213",-0.0857917131994145,0.237622948809183
"214","sites","214",0.390857889681816,-0.182739762190109
"215","sites","215",-0.0256865368893528,0.136374279637874
"216","sites","216",0.101918107564103,0.150764863453071
"217","sites","217",-0.0986352254303213,0.258752997928896
"218","sites","218",-0.384223225473896,0.390863067155707
"219","sites","219",0.0997633001395435,-0.351631867313397
"220","sites","220",0.220189352418324,-0.343501591627634
"221","sites","221",0.129165853686619,-0.0804697170980892
"222","sites","222",0.140234747480122,0.285792006215962
"223","sites","223",-0.00241744379351003,-0.226635820789026
"224","sites","224",-0.0906066992541191,-0.178900545860112
"225","sites","225",0.0948861053968302,0.275794703850866
"226","sites","226",0.1325593214267,-0.196217915977521
"227","sites","227",0.0984676184424013,-0.124807024090952
"228","sites","228",-0.0657125107393854,-0.0600790133169645
"229","sites","229",0.468550126729878,-0.190918790741493
"230","sites","230",0.300102962603399,-0.304599181355199
"231","sites","231",0.248897726005632,0.193275523450356
"232","sites","232",-0.348792886256839,-0.0633317336682254
"233","sites","233",-0.358174670432494,-0.224062541703154
"234","sites","234",-0.0932326193812092,-0.264347356433278
