"","genome2guild$guild","mat_trait$`mat_ori$id`","size","grassAmbDry1","grassAmbWet1","grassAmbDry2","grassAmbWet2","Average","grassRedDry1","grassRedWet1","grassRedDry2","grassRedWet2","Average.1","shrubAmbDry1","shrubAmbWet1","shrubAmbDry2","shrubAmbWet2","Average.2","shrubRedDry1","shrubRedWet1","shrubRedDry2","shrubRedWet2","Average.3"
"46","25","grassAmbDry2_bin.36.orig",2152338,0.731123,1.678279,4.835426,5.903996,3.287206,0.04386,0.174504,0.206277,0.370679,0.19883,0.546073,0.949512,0.681605,1.575715,0.93822625,0.340694,0.218139,0.473822,0.734534,0.44179725
"47","26","grassAmbDry2_bin.37.orig",1627744,0.879465,0.643024,1.726693,0,0.8122955,12.440316,2.531435,0.9671355,0.0905875,4.0073685,0,0,0,0,0,0,0,0,0,0
"48","27","grassAmbDry2_bin.38.orig",8190640,0.119406,0.013565,3.11905,0.514266,0.94157175,0.017578,0.052008,0.054085,0.182702,0.07659325,0.7526645,1.049358,0.278791,0.258465,0.584819625,1.125451,0.173447,0.794191,0.301185,0.5985685
"49","28","grassAmbDry2_bin.39.orig",5173563,0.108071,0.672368,2.986923,1.970872,1.4345585,0,0.5565775,1.5049165,4.82781,1.722326,0.205998,0.684128,0.600627,1.6898495,0.795150625,0.507429,0.2145385,2.175286,2.43414,1.332848375
"50","9","grassAmbDry2_bin.4.orig",4889214,0.580103,1.658365,3.674236,1.989175,1.97546975,0.015442,0.120977,0.339229,1.254778,0.4326065,1.780652,2.006771,1.982014,1.994164,1.94090025,1.313784,0.979065,2.03115,2.118469,1.610617
"51","15","grassAmbDry2_bin.40.orig",3171039,0,0.138524,0.933546,0.133703,0.30144325,0,0.037741,0.263758,0.214454,0.12898825,0,0,0,0.169383,0.04234575,0,0,0.663475,0.389191,0.2631665
"52","21","grassAmbDry2_bin.5.orig",3018690,0.132457,1.226196,7.086045,1.906721,2.58785475,0,0.016752,0.170708,0.644107,0.20789175,0.12476,2.709379,2.916404,2.471107,2.0554125,0.704472,0.58228,5.884034,5.400004,3.1426975
"53","10","grassAmbDry2_bin.6.orig",2089584,34.561517,20.582777,30.237778,12.220424,24.400624,3.1304185,1.6562595,6.290787,12.282951,5.840104,4.615324,3.3109275,6.088505,4.361188,4.593986125,2.647861,9.910925,12.070271,9.819495,8.612138
"54","23","grassAmbDry2_bin.7.orig",3220472,2.872848,2.001989,6.385389,16.532005,6.94805775,0.308726,0.832081,0.889506,6.343684,2.09349925,21.9956,8.184797,14.761792,20.364888,16.32676925,16.892,8.725409,9.841742,11.768892,11.80701075
"55","11","grassAmbDry2_bin.8.orig",1049391,0.769256,1.981756,4.2077915,3.8531595,2.70299075,0.079885,0.547518,1.090948,2.771216,1.12239175,3.306921,4.471566,4.39829,5.163166,4.33498575,2.875259,1.983773,4.152225,4.490091,3.375337
"56","8","grassAmbDry2_bin.9.strict",2851570,0,0.170611,0.967085,0.305687,0.36084575,0.078357,0.579088,0.631172,0.847405,0.5340055,0.046735,0.120778,0.145244,0.201917,0.1286685,0.197667,0.093998,0.490666,0.615372,0.34942575
"57","21","grassAmbWet1_bin.1.strict",5806075,0.070781,5.84958,1.29199,1.956448,2.29219975,0,0.034798,0.065554,0.234924,0.083819,0.130675,0.901669,0.663778,0.629664,0.5814465,0.233418,0.1654,0.59295,1.02752,0.504822
"58","16","grassAmbWet1_bin.10.orig",1931119,0.9573265,1.1320125,0.2030175,0,0.573089125,0.472546,0.081515,0,0.091103,0.161291,0.5926595,0.509992,0,0,0.275662875,0.663346,0.115256,0.14386,0,0.2306155
"59","10","grassAmbWet1_bin.11.orig",2303227,15.077968,6.6754345,1.0208,0.443003,5.804301375,1.663313,1.141936,0.486246,0.504156,0.94891275,0.460224,0.297338,0.492314,0.4020265,0.412975625,0.406441,0.940124,0.361155,0.365194,0.5182285
"60","8","grassAmbWet1_bin.12.strict",6367739,0.104743,4.121464,0.823059,0.363316,1.3531455,1.992812,5.699553,0.744043,0.581313,2.25443025,0.007705,0.267934,0.06927,0.117977,0.1157215,0.013707,0.008302,0.038195,0.100637,0.04021025
"61","15","grassAmbWet1_bin.13.orig",3532275,0.049999,2.676584,0.40729,2.633867,1.441935,0,0.005245,0.004762,0.417426,0.10685825,0.065372,0.197264,0.126635,0.283024,0.16807375,0.070982,0.028723,0.131929,2.40031,0.657986
"62","23","grassAmbWet1_bin.14.orig",2952704,0.685247,2.07092,0.951469,0.91303,1.1551665,0.71407,1.208088,1.4283705,2.424468,1.443749125,0.323393,0.531278,1.118908,0.606521,0.645025,0.921605,2.125889,0.762686,0.681398,1.1228945
"63","21","grassAmbWet1_bin.15.orig",3828328,0.603533,2.927222,0.49486,0.510845,1.134115,0.083811,1.158466,0.336594,0.100369,0.41981,0,0.609405,0.149811,0.071524,0.207685,0.014677,0,0.145052,0.069795,0.057381
"64","3","grassAmbWet1_bin.16.orig",2394242,0.1824075,2.800104,3.879389,4.671394,2.883323625,0.0809545,0.396946,2.0744425,6.3196355,2.217994625,0.752937,1.111278,0.941873,1.328569,1.03366425,0.798366,0.631128,0.986108,1.471783,0.97184625
"65","28","grassAmbWet1_bin.17.orig",4796518,0.01789,3.955716,0.449861,0.2119,1.15884175,0.047631,0.156648,0.305761,0.229576,0.184904,0.004165,0.100148,0.047151,0.26116,0.103156,0.031198,0.00498,0.677998,0.405914,0.2800225
"66","28","grassAmbWet1_bin.18.strict",3333328,0.659401,7.23633,1.535891,0.739517,2.54278475,1.043821,0.21945,1.042583,0.140355,0.61155225,0.065074,0.930069,0.058676,0.287227,0.3352615,0.046518,0.015986,0.212426,0.09364,0.0921425
"67","9","grassAmbWet1_bin.19.orig",5328666,0.809344,3.699918,3.944763,2.664891,2.779729,0.014258,0.15896,0.393867,1.290964,0.46451225,1.585648,1.976344,1.68257,1.83698,1.7703855,1.091642,0.893288,1.718234,1.875996,1.39479
"68","10","grassAmbWet1_bin.2.orig",1478495,34.654467,21.556105,25.708564,11.722316,23.410363,3.280733,1.494835,5.745023,11.04431,5.39122525,5.045759,3.340152,5.999521,3.973547,4.58974475,2.588762,9.872101,11.026521,8.693203,8.04514675
"69","27","grassAmbWet1_bin.20.orig",2866659,0.385196,2.773039,0.083594,0.086135,0.831991,2.577022,2.637005,0.581278,0.211923,1.501807,0.101097,0.10354,0.118479,0.183423,0.12663475,0.163759,0.07047,0.092008,0.101393,0.1069075
"70","29","grassAmbWet1_bin.21.strict",5269091,1.130527,4.079276,3.115869,2.484929,2.70265025,0.113114,0.938667,1.737424,2.915425,1.4261575,4.752388,7.549748,4.848286,5.862427,5.75321225,2.342672,1.693214,3.014399,3.770536,2.70520525
"71","23","grassAmbWet1_bin.22.orig",3025001,1.682555,3.213247,4.326199,8.800371,4.505593,0.269876,1.179744,3.242256,8.840012,3.382972,4.61311,2.556711,7.371796,6.599978,5.28539875,5.849658,4.143567,3.854955,7.426642,5.3187055
"72","28","grassAmbWet1_bin.23.orig",4102138,0.009187,12.687356,0.212746,0.248031,3.28933,0.339176,1.262143,0.367663,0.101377,0.51758975,0.003312,0.13442,0,0.016288,0.038505,0.010545,0.068504,0.038734,0.91897,0.25918825
"73","18","grassAmbWet1_bin.24.orig",5012640,0.890858,3.967041,1.517573,1.203102,1.8946435,0.31755,1.614363,2.395491,1.479687,1.45177275,0.888156,0.950866,1.631585,1.158028,1.15715875,1.174255,0.721933,1.486398,1.020079,1.10066625
"74","30","grassAmbWet1_bin.25.orig",5098264,1.786848,11.232964,19.074995,5.058283,9.2882725,0.312792,0.683568,2.185976,3.400306,1.6456605,1.5018595,2.822836,9.94036,2.021721,4.071694125,1.885013,7.698497,14.103569,3.600597,6.821919
